project_id,name,type,states,districts,land_required_ha,land_acquired_ha,status,is_delayed_30d
PROJ-1242,Rajasthan Metro Corridor #243,Metro,Rajasthan,Surat,673.16,0.0,ACTIVE,0
PROJ-1243,Gujarat Highway Corridor #244,Highway,Gujarat,Thane,451.09,0.0,ACTIVE,1
PROJ-1244,Karnataka Metro Corridor #245,Metro,Karnataka,Vadodara,711.53,0.0,ACTIVE,0
PROJ-1245,Rajasthan Port Corridor #246,Port,Rajasthan,Thane,654.47,0.0,ACTIVE,0
PROJ-1246,Tamil Nadu Metro Corridor #247,Metro,Tamil Nadu,Thane,354.05,0.0,ACTIVE,0
PROJ-1247,Maharashtra Railway Corridor #248,Railway,Maharashtra,Pune,778.49,0.0,ACTIVE,1
PROJ-1248,Tamil Nadu Industrial Corridor #249,Industrial,Tamil Nadu,Jaipur,1044.63,0.0,ACTIVE,0
PROJ-1249,Rajasthan Highway Corridor #250,Highway,Rajasthan,Jaipur,228.94,0.0,ACTIVE,1
PROJ-1250,Rajasthan Highway Corridor #251,Highway,Rajasthan,Raigad,1134.41,0.0,ACTIVE,1
PROJ-1251,Rajasthan Metro Corridor #252,Metro,Rajasthan,Surat,968.07,0.0,ACTIVE,1
PROJ-1252,Tamil Nadu Highway Corridor #253,Highway,Tamil Nadu,Surat,255.46,0.0,ACTIVE,0
PROJ-1253,Rajasthan Highway Corridor #254,Highway,Rajasthan,Jaipur,522.26,0.0,ACTIVE,0
PROJ-1254,Maharashtra Port Corridor #255,Port,Maharashtra,Vadodara,347.37,0.0,ACTIVE,1
PROJ-1255,Gujarat Metro Corridor #256,Metro,Gujarat,Pune,961.8,0.0,ACTIVE,0
PROJ-1256,Gujarat Railway Corridor #257,Railway,Gujarat,Raigad,457.61,0.0,ACTIVE,1
PROJ-1257,Tamil Nadu Railway Corridor #258,Railway,Tamil Nadu,Surat,740.78,0.0,ACTIVE,1
PROJ-1258,Gujarat Metro Corridor #259,Metro,Gujarat,Vadodara,219.96,0.0,ACTIVE,1
PROJ-1259,Maharashtra Railway Corridor #260,Railway,Maharashtra,Vadodara,509.15,0.0,ACTIVE,1
